Wig,Radiation,Windspeed,HeatLoss,SkinTemp,Insulation,Clo,Trial
HighCurv,Off,0.3,98.1,38,0.375,2.42,1
HighCurv,Off,1,94.6,34,0.261,1.68,1
HighCurv,Off,2.5,169.9,34,0.148,0.96,1
HighCurv,On,0.3,84.6,38,0.429,2.77,1
HighCurv,On,1,75.5,34,0.324,2.09,1
HighCurv,On,2.5,160,34,0.156,1.01,1
LowCurv,Off,0.3,87.2,38,0.42,2.71,1
LowCurv,Off,1,95.7,34,0.261,1.68,1
LowCurv,Off,2.5,158.7,34,0.159,1.03,1
LowCurv,On,0.3,24.6,38,1.455,9.39,1
LowCurv,On,1,31.5,34,0.778,5.02,1
LowCurv,On,2.5,114.6,34,0.219,1.41,1
MidCurv,Off,0.3,77.1,38,0.477,3.08,1
MidCurv,Off,1,91.5,34,0.272,1.75,1
MidCurv,Off,2.5,160.3,34,0.157,1.02,1
MidCurv,On,0.3,40.7,38,0.887,5.72,1
MidCurv,On,1,54.7,34,0.446,2.88,1
MidCurv,On,2.5,126.2,34,0.198,1.28,1
NoWig,Off,0.3,325.2,38,0.113,0.73,1
NoWig,Off,1,250.5,34,0.099,0.64,1
NoWig,Off,2.5,435.6,34,0.058,0.37,1
NoWig,On,0.3,150,38,0.237,1.53,1
NoWig,On,1,74.5,34,0.324,2.09,1
NoWig,On,2.5,282.7,34,0.088,0.57,1
HighCurv,Off,0.3,114.9,38,0.322,2.08,2
HighCurv,Off,1,94.3,34,0.265,1.71,2
HighCurv,Off,2.5,164.9,34,0.153,0.99,2
HighCurv,On,0.3,91.1,38,0.399,2.58,2
HighCurv,On,1,76.5,34,0.322,2.08,2
HighCurv,On,2.5,153.4,34,0.162,1.05,2
LowCurv,Off,0.3,88,38,0.419,2.7,2
LowCurv,Off,1,92.1,34,0.27,1.74,2
LowCurv,Off,2.5,145.3,34,0.173,1.11,2
LowCurv,On,0.3,21.7,38,1.661,10.72,2
LowCurv,On,1,27,34,0.902,5.82,2
LowCurv,On,2.5,99.1,34,0.25,1.62,2
MidCurv,Off,0.3,86.4,38,0.428,2.76,2
MidCurv,Off,1,87.1,34,0.286,1.85,2
MidCurv,Off,2.5,151,34,0.166,1.07,2
MidCurv,On,0.3,44.4,38,0.816,5.27,2
MidCurv,On,1,48.3,34,0.508,3.27,2
MidCurv,On,2.5,119.1,34,0.211,1.36,2
NoWig,Off,0.3,329,38,0.112,0.72,2
NoWig,Off,1,246.4,34,0.101,0.65,2
NoWig,Off,2.5,449.5,34,0.056,0.36,2
NoWig,On,0.3,160.8,38,0.224,1.44,2
NoWig,On,1,84.1,34,0.292,1.88,2
NoWig,On,2.5,280.3,34,0.089,0.57,2
HighCurv,Off,0.3,112.9,38,0.326,2.1,3
HighCurv,Off,1,88.9,34,0.281,1.81,3
HighCurv,Off,2.5,163.4,34,0.155,1,3
HighCurv,On,0.3,93.4,38,0.389,2.51,3
HighCurv,On,1,73.3,34,0.338,2.18,3
HighCurv,On,2.5,153,34,0.165,1.06,3
LowCurv,Off,0.3,87.1,38,0.422,2.73,3
LowCurv,Off,1,93,34,0.269,1.73,3
LowCurv,Off,2.5,144.4,34,0.176,1.13,3
LowCurv,On,0.3,26.8,38,1.366,8.81,3
LowCurv,On,1,26.2,34,0.936,6.04,3
LowCurv,On,2.5,102.2,34,0.245,1.58,3
MidCurv,Off,0.3,84.9,38,0.434,2.8,3
MidCurv,Off,1,85.4,34,0.295,1.9,3
MidCurv,Off,2.5,145.7,34,0.174,1.12,3
MidCurv,On,0.3,40.8,38,0.887,5.72,3
MidCurv,On,1,52.4,34,0.469,3.02,3
MidCurv,On,2.5,123.9,34,0.203,1.31,3
NoWig,Off,0.3,328.7,38,0.112,0.72,3
NoWig,Off,1,247.4,34,0.101,0.65,3
NoWig,Off,2.5,431.6,34,0.058,0.38,3
NoWig,On,0.3,152.6,38,0.234,1.51,3
NoWig,On,1,76.3,34,0.318,2.05,3
NoWig,On,2.5,273.2,34,0.091,0.59,3