Wig,Windspeed,Trial,HeatLossOff,HeatLossOn,SolarInflux
Nude,0.3,1,152.1,88,64.1
Nude,0.3,2,152.1,88,64.1
Nude,0.3,3,152.1,88,64.1
Nude,1,1,254.5,227,27.5
Nude,1,2,254.5,227,27.5
Nude,1,3,254.5,227,27.5
Nude,2.5,1,284.6,284.8,-0.2
Nude,2.5,2,284.6,284.8,-0.2
Nude,2.5,3,284.6,284.8,-0.2
LowCurv,0.3,1,71.1,30,41.1
LowCurv,0.3,2,63.8,27.6,36.2
LowCurv,0.3,3,67.45,28.8,38.65
LowCurv,1,1,103.1,73.3,29.8
LowCurv,1,2,102.8,80.9,21.9
LowCurv,1,3,102.95,77.1,25.85
LowCurv,2.5,1,149.4,137.5,11.9
LowCurv,2.5,2,163.5,137.4,26.1
LowCurv,2.5,3,156.45,137.45,19
MidCurv,0.3,1,60.4,26.6,33.8
MidCurv,0.3,2,54.6,21.7,32.9
MidCurv,0.3,3,57.5,24.15,33.35
MidCurv,1,1,90.4,64,26.4
MidCurv,1,2,89.8,68,21.8
MidCurv,1,3,90.1,66,24.1
MidCurv,2.5,1,138.1,133.1,5
MidCurv,2.5,2,141.7,129.8,11.9
MidCurv,2.5,3,139.9,131.45,8.45
HighCurv,0.3,1,60.4,16.3,44.1
HighCurv,0.3,2,56.2,16.5,39.7
HighCurv,0.3,3,58.3,16.4,41.9
HighCurv,1,1,79.8,55.6,24.2
HighCurv,1,2,75.5,53,22.5
HighCurv,1,3,77.65,54.3,23.35
HighCurv,2.5,1,128.5,149,-20.5
HighCurv,2.5,2,113.7,109.7,4
HighCurv,2.5,3,121.1,110,11.1